"site_name","site_code","asset_number","asset_id","easting","northing","ev_charger","lamp_type","next_electrical_test_date","structural_test_classification","next_structural_test_year"
"Curlew Street",22500688,4199.00,"208L07",533797.99,179972.86,"Not Applicable","LED","2029/2030",4,"2029/2030"
"Curtis Street",22500689,4215.00,"27L05",533553,178976.6,"Not Applicable","LED","2029/2030",3,"2026/2027"
"Cuthill Walk",22500691,4218.01,"4019L04",532721.59,176518.63,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Cyrena Road",22500692,88888.00,"2634L03",533901.61,174487.03,"Not Applicable","LED","2026/2027","Green","2025/2026"
"Dagmar Road",22500694,4222.00,"2278L02",533060.44,176643.72,"Not Applicable","LED","2027/2028","Low Amber","2024/2025"
"Dagmar Road",22500694,4226.00,"2278L06",533104.44,176558.54,"Not Applicable","LED","2027/2028","Low Amber","2024/2025"
"Dalwood Street",22500697,4236.00,"2280L03",533476.66,176960.16,"Not Applicable","LED","2027/2028","Green","2024/2025"
"Dalwood Street",22500697,4237.00,"2280L04",533440.1,176961.89,"Not Applicable","LED","2027/2028","Green","2024/2025"
"Dalwood Street",22500697,4240.00,"2280L07",533342.53,176935.95,"Not Applicable","LED","2027/2028","Green","2024/2025"
"Danecroft Road",22500701,4258.00,"2102L03",532454.41,174884.21,"Not Applicable","LED","2028/2029","Low Amber","2025/2026"
"Danecroft Road",22500701,4269.00,"2102L09",532532.49,174793.73,"Not Applicable","LED","2028/2029","Low Amber","2025/2026"
"Daneville Road",22500703,4279.00,"2068L03",532593.62,176525.12,"Not Applicable","LED","2025/2026","Green","2024/2025"
"Daneville Road",22500703,4282.00,"2068L06",532647.96,176572.8,"Not Applicable","LED","2025/2026","Green","2024/2025"
"Daniel Gardens",22500705,4288.00,"2691L01",533807.1,177486.8,"Not Applicable","LED","2022/2023","Low Amber","2024/2025"
"Daniel Gardens",22500705,4293.00,"2691L06",533675,177464,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Daniel Gardens",22500705,88888.00,"2691L08",533632,177458.3,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Daniels Road",22500706,4297.00,"2653L03",535168.97,175625.21,"Not Applicable","Cosmo","2026/2027","Low Amber","2026/2027"
"Dante Road",22500708,8888.01,"1506L02",531716.58,178850.53,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Dante Road",22500708,88888.01,"1506L03",531710.21,178829.71,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Darrell Road",22500710,4314.00,"2624L05",534162.72,174837.06,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Dartford Street",22500712,4319.00,"1371L01",532358.97,177816,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Dartford Street",22500712,4325.00,"1371L02",532346.85,177837.87,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Darwin Street",22500713,4330.00,"1247L02",532999.1,178903.62,"Not Applicable","LED","2027/2028","Green","2026/2027"
"Davey Street",22500718,4351.00," 2693L03",533767.36,177604.78,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Deans Buildings",22500733,44171.01,"1235L06",532808.2,178540.5,"Not Applicable","LED","2027/2028","Green","2026/2027"
"Decima Street",22500735,4422.00,"37L03",533110.75,179393.42,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Delaford Road",22500737,4438.00,"323L01",534916.6,178258.8,"Not Applicable","LED","2028/2029","Low Amber","2025/2026"
"Delaford Road",22500737,4446.00,"323L04",534987.8,178279.8,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Delverton Road",22500743,4452.00,"1161L01",531901.78,178187.32,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Delverton Road",22500743,4455.01,"1161L05",531865.84,178239.01,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Denman Road",22500744,4459.00," 2764L11",533710.76,176523.88,"Not Applicable","LED","2027/2028","Green","2026/2027"
"Denman Road",22500744,4469.00," 2764L01",533757.04,176342.84,"Not Applicable","LED","2027/2028","Green","2026/2027"
"Denmark Hill",22500746,4471.00,"2511L01",532538,176703,"Not Applicable","LED","2023/2024","Low Amber","2024/2025"
"Denmark Hill",22500746,4474.00,"2511L04",532540,176652,"Not Applicable","LED","2023/2024","Green","2024/2025"
"Denmark Hill",22500746,4505.00,"2511L30",532725,175928,"Not Applicable","LED","2023/2024","Green","2024/2025"
"Denmark Hill",22500746,4518.00,"2511L43",532758,175677,"Not Applicable","LED","2023/2024","Green","2024/2025"
"Denmark Hill",22500746,4519.00,"2511L44",532737.8,175649.32,"Not Applicable","LED","2023/2024","Low Amber","2024/2025"
"Denmark Hill",22500746,4525.00,"2511L50",532710.84,175508.79,"Not Applicable","LED","2023/2024","Green","2024/2025"
"Denmark Road",22500754,4542.00,"2509L15",532103.83,176580.69,"Not Applicable","Compact Flourescent","2022/2023","Not Applicable","2022/2023"
"Denmark Road",22500754,4640.00,"2509L08",532165.48,176444.99,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Derwent Grove",22500759,4555.01,"2119L07",533581.45,175241.89,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Derwent Grove",22500759,4555.05,"2119L11",533602.15,175177.3,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Deverell Street",22500763,4578.00,"1263L12",532605.35,179222.48,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Devon Street",22500765,4576.00,"2421L02",534767.21,177641.12,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Devon Street",22500765,4581.10,"2421L07",534899.5,177611.7,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Devon Street",22500765,4581.55,"2421L16",534924.5,177561.7,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Dewar Street",22500767,4591.00,"2680L04",534317.49,175723.02,"Not Applicable","LED","2028/2029","Green","2026/2027"
"Diamond Street",22500768,4605.02," 2257L05",533454.64,177113.61,"Not Applicable","LED","2022/2023","Low Amber","2024/2025"
"Diamond Street",22500768,4605.04," 2257L06",533445.98,177110.05,"Not Applicable","LED","2022/2023","Low Amber","2024/2025"
"Dock Hill Avenue",22500774,100001.00,"0458L17",536048.89,179864.75,"Not Applicable","LED","2028/2029","Green","Not Applicable"
"Dock Hill Avenue",22500774,100004.00,"0458L14",535993.71,179903.9,"Not Applicable","LED","2028/2029","Green","Not Applicable"
